id,name,latitude,longitude,elevation,datesetup,isactive,isautomatic,timestamp,value,interval
1,OPG1,45.37969860588225,17.834454255068945,152,2021-12-21T23:00:00.000Z,true,false,2024-09-29T21:59:59.000Z,0.3,7 days
1,OPG1,45.37969860588225,17.834454255068945,152,2021-12-21T23:00:00.000Z,true,false,2024-10-24T21:59:59.000Z,0,1 day
2,Kutjevo,45.42333333,17.88083333,236,null,true,true,2024-10-25T06:00:00.000Z,0.1,1 day
3,Feričanci,45.51666667,17.95,127,null,true,true,2024-10-25T06:00:00.000Z,0.1,1 day
4,Pleternica,45.28861111,17.80138889,153,null,true,true,2024-10-25T06:00:00.000Z,0.2,1 day
5,Zagreb-aerodrom,45.72916667,16.05388889,106,null,true,true,2024-10-25T06:00:00.000Z,2.4,1 day
6,Pazin,45.24083333,13.94527778,291,null,true,true,2024-10-25T06:00:00.000Z,4,1 day
7,Šibenik,43.72805556,15.90638889,77,null,true,true,2024-10-25T06:00:00.000Z,2.8,1 day
8,Ogulin,45.26277778,15.22222222,328,null,true,true,2024-10-25T06:00:00.000Z,5.9,1 day
9,Mali Lošinj,44.5325,14.47194444,53,null,true,true,2024-10-25T06:00:00.000Z,5,1 day
10,Zavižan,44.81472222,14.97527778,1594,null,true,true,2024-10-25T06:00:00.000Z,8,1 day
